كود,إسم الصنف,سعر البيع
90874,***GREEN TEA,100.0
87648,**IMP panadol night 20 TAB,530.0
84773,.CALCIMA 30 PICS,130.0
oly,`OLYSRE 20 TAB,115.0
71475,+*** IMP BIOTIN 10000 MCG 100 TAB,950.0
53804,+***IMP FEROGLOBIN B12 30 CAP,600.0
18646,+***imp NEO MERCAZOLE 5 MG 100 TAB,600.0
55748,+***IMP OSTEOCARE SYRUP 200ML,840.0
54473,+***IMP OSTEOCARE ORIGINAL 30 TAB,550.0
17155,+***imp PANADOL BLUE TAB,240.0
30547,+***imp PANADOL COLD AND FLU TAB,400.0
65174,+***imp PANADOL EXTRA 24 TAB IMP,100.0
59828,+***imp PANADOL JOINT 18 TAB,575.0
25723,+***imp PANADOL SINUS 24 TAB,170.0
29384,+***IMP PERFECTIL TRIPLE ACTIVE 30TAB IMP,600.0
27942,+***IMP PREGNACARE original folic acid 30 cap,450.0
56431,+***imp TRIPLE OMEGA 3-6-9 120 CAP(PURITANS,1450.0
68671,+***imp VEGA HONEY 10 PATCH,150.0
68674,+***IMP VITAMIN D3 5000 IU 100 TAB,600.0
55765,+***IMPGlUCOSAMINE CHONDROTN MSM 120CAP,400.0
77608,+***spanish fly imp,120.0
73073,456+4456.4,57.0
26866,45645841635,5530.0
87805,535454,425.0
46352,54234553,70.0
81312,564356345254,70.0
81217,64564164,120.0
46285,65465163,45.0
35435435,7585485463546350,30.0
79111,876763,36.0
29189,ABILIFY 10 MG 10 TAB,220.5
29188,ABILIFY 15 MG 10 TAB,330.5
74571,ABILIFY 5 MG 10 TAB,134.5
21728,ABIMOL 500 MG 20 TAB,24.0
45413,ABIMOL EXTRA 20 TAB.,28.0
45178,ABIMOL SUPP,15.0
745822,acanthaprop eye 10ml,80.0
91689,ACDISTERON 25 MG 20 TAB,184.0
86478,ACELIOFINAZ 100 MG 20 F.C. TAB,56.0
90841,ACETOLYTIC 600 MG 10 CAPS,71.0
91756,ACETYL-C CORCEPT 20CAPS,140.0
74075,ACETYLCISTEINE 200 MG 10 SACHETS,55.0
73854,ACETYLCISTEINE 600 MG 10 SACHETS,70.0
91666,ACETYLCYSTEINE VITA C 10 SACHETS,80.0
85839,ACHTENON 30 TABS,51.0
21489,ACICONE S SUSP 120ML,16.5
81700,ACIVIRAX 400 MG 30 TAB,112.5
55704,ACIVIRAX 800 MG 20 TAB,154.0
74783,ACNE-STOP CREAM 30 GM,68.0
56828,ACNESCAVE GEL 30 GM,37.0
79378,ACNIACT GEL 15 GM,39.0
78592,ACNITAZ GEL 15 GM,14.4
26476,ACRETIN 0.025% CREAM 30 GM,38.0
26475,ACRETIN 0.05% CREAM,43.0
81251,ACTI-COLLA ADVANCE 10 SACHET,330.0
86436,ACTI-COLLA ADVANCE 30 SACHETS,860.0
78714,ACTI-COLLA C 10 SACHETS,258.0
81013,ACTI-COLLA C 30SACHETS,666.0
84051,ACTI-FOLIC 30 TABS.,55.0
91980,ACTI-MASS MASSAGE CREAM 50GM,70.0
91082,ACTI 20 MG FLIM TAB 20,106.0
59238,ACTIFAST 50 MG 30TAB,39.0
88910,ACTIFAST 50 MG 30 SACHETS,105.0
79728,ACTIFAST 6 SACHETS,21.0
3718,ACTIMAR 30 CAPS,90.0
91243,ACTITRUE CALAMINE LOTION 100ml,59.0
91242,ACTITRUE INTIMATE FEMININE WASH 200ml,79.0
91210,ACTITRUE MOUTH WASH,69.0
58283,ACTIVE HAIR OIL 120 ML,100.0
58284,ACTIVE SHAMPOO 250 ML,110.0
77065,ACTOS 30 MG 30TAB,372.0
28089,ACTRAPID HM 100 I.U./ML 5*3ML PENFILLS,338.0
25153,ACTRAPID HM 100 I.U./ML 10 ML VIAL,130.0
74896,ACYCLOVIR 10 GM CREAM,23.0
74041,ACYCLOVIR 400 MG 35 TAB,210.0
21481,ACYCLOVIR 800 MG 35 TAB,280.0
29154,ADAPALENE GEL 30 GM,34.0
48222,ADENOSINE FORT 3 AMP,45.0
89285,ADMLASE SYRUP 120 ML,55.0
74621,ADOL 500 MG 24 TAB,32.0
74549,ADOL EXTRA 24 TAB,52.0
48087,ADOL SINUS 24 TAB,40.0
59464,ADOLOR 10 MG 20 TAB,40.0
77042,ADOLOR 15 MG AMP,19.5
81141,ADOLOR 30 MG 3 AMP,36.0
88144,ADPORT 1 MG IMP++++++,2145.0
80215,ADRENOCORTINE 1MG/ML I.M. AMP.,80.0
59694,ADVANCE SOAP BAR 100 G,57.0
77290,ADVANCE SOAP 100gm,57.0
60097,ADVANCRIB 400 MG 5 TAB,59.0
