product_name_ar,product_name_en,store_product_id,product_id,sale_price
1 2 3 وان تو ثري 20 اقراص,1 2 3 ONE TWO THREE 20 F.C. TAB,2437679.0,80009.0,40.0
1 2 3 وان تو ثري اكسترا 20 اقراص,1 2 3 ONE TWO THREE EXTRA 20 F.C. TAB,2403271.0,1.0,50.0
1 2 3 وان تو ثري شراب 120 مل,1 2 3 ONE TWO THREE SYRUP 120 ML,2094308.0,2.0,32.0
555 كريم حلاقه للرجال بجوز الهند 55 جرام,555 COCONUT SHAVING CREAM 55 G FOR MEN,2168540.0,100000.0,25.0
555 كولونيا بخاخ 120 مل,555 COLOGNE SPRAY 120 ML,1844459.0,100001.0,62.0
555 كولونيا بخاخ 260 مل,555 COLOGNE SPRAY 260 ML,2168732.0,100002.0,90.0
55555 بودره تلك 100 جرام بدون رائحه ازرق صغيره,FIVE FIVES BABY TALCUM POWDER 100 GM FRAGRANCE FREE,1430400.0,100006.0,23.0
55555 بودره تلك 200 جرام بدون رائحه ازرق كبيره,FIVE FIVES BABY TALCUM POWDER 200 GM FRAGRANCE FREE,1430396.0,100007.0,30.0
55555 بودره تلك سوبر برائحه الورد 100 جم روز صغيره,FIVE FIVES SUPER TALCUM POWDER WITH ROSE FRAG. 100 GM,1656583.0,100004.0,23.0
55555 بودره تلك سوبر برائحه الورد 200 جم روز كبيره,FIVE FIVES SUPER TALCUM POWDER WITH ROSE FRAG. 200 GM,1430399.0,100005.0,35.0
55555 حنه اسود 100 جم,FIVE FIVES HENNA 100 GM BLACK,1430397.0,120062.0,23.0
55555 حنه اسود 200 جم,FIVE FIVES HENNA 200 GM BLACK,1430398.0,120063.0,40.0
55555 كريم حلاقه للرجال 50 جم,FIVE FIVES SUPER SHAVING CREAM 50 GM,2276361.0,100011.0,28.0
55555 كولونيا 200 مل,55555 COLONGE 200 ML,1400135.0,100014.0,54.0
55555 كولونيا بخاخ 130 مل صغيره,55555 COLONGE SPRAY 130 ML,1400132.0,100012.0,40.0
55555 كولونيا بخاخ 230 مل كبيره,55555 COLONGE SPRAY 230 ML,1400134.0,100013.0,64.0
اباندروكير 150 مجم 2 اقراص,IBANDROCARE 150 MG 2 F.C.TAB,901629.0,7535.0,80.0
ابتاميل ادفانس 1 لبن 400 جم,APTAMIL 1 ADVANCE MILK 400 GM,1148241.0,1107.0,399.0
ابتاميل بروسينيو لبن 400 جم,APTAMIL PROSYNEO MILK 400 GM,2445636.0,73525.0,473.0
ابتاميل كومفورت لبن 400 جم,APTAMIL COMFORT MILK 400 GM,1802825.0,73383.0,441.0
ابتوفول 10 / 25 مجم 20 اقراص,APTOFUL 10 / 25 MG 20 F.C.TAB,2509526.0,133556.0,27.0
ابتوفول 5 / 12.5 مجم 20 اقراص,APTOFUL 5 / 12.5 MG 20 F.C. TAB,2634552.0,133557.0,22.0
ابديت زيت 60 مل,UPDATE BODY OIL 60 ML,2146796.0,71884.0,225.0
ابديت كريم تفتيح بشره 50 جم,UPDATE WHITENING CREAM 50 GM,2200599.0,82006.0,130.0
ابراتروبيوم ميلان 0.5 مجم / 2 مل (للكبار) 10 جرعات امبول,IPRATROPIUM MYLAN 0.5 MG / 2 ML (ADULTS) 10 UNIT DOSE VIAL.,1736375.0,7815.0,80.0
ابرافنت اس بخاخ 200 جرعه,IPRAVENT S AEROSOL FOR INHALATION 200 DOSES,2281828.0,7816.0,94.0
ابروفيل 150 مجم 14 اقراص,APROVEL 150 MG 14 TAB.,2337832.0,1104.0,206.0
ابروفيل 150 مجم 28 اقراص,APROVEL 150 MG 28 TAB,2010292.0,124667.0,206.0
ابروفيل 300 مجم 14 اقراص,APROVEL 300 MG 14 TAB.,1944092.0,1105.0,262.0
ابروفيل 300 مجم 28 اقراص,APROVEL 300 MG 28 TAB,2668829.0,138158.0,262.0
ابريكور كريم 30 جم,APRICOR CREAM 30 GM,2498753.0,76996.0,65.0
ابسي دينت جل,EPSI DENT GEL,1545697.0,82312.0,120.0
ابسي فلون كريم,EPSI FLONE CREAM,1652175.0,82309.0,110.0
ابسي فليكس جل,EPSI FLEX GEL,1652176.0,82311.0,148.0
ابل لايت 30 اقراص,APPLE LITE 30 TABS.,2288827.0,1101.0,45.0
ابلونج نوفالجين 500 مجم 10 اقراص,NOVALGIN OBLONG 500 MG 10 F.C TAB.,1465487.0,10753.0,20.0
ابي جرو 10 اكياس,API GROW POWDER 10 SACHETS,2191720.0,1087.0,120.0
ابي دينيترا 10 مجم 20 اقراص,EPI DINITRA 10 MG 20 TABLETS,1945674.0,122771.0,9.0
ابي دينيترا 5 مجم 30 اقراص,EPI DINITRA 5 MG 30 SUBLINGUAL TABLETS,1842062.0,122772.0,16.0
ابي رايز شراب 120 مل,APPE RAISE SYRUP 120 ML,2468081.0,1098.0,35.0
