code,drug_name,matched_product_name_en,matched_product_name_ar,matched_store_product_id,match_score
90874,***GREEN TEA,,,,
87648,**IMP panadol night 20 TAB,,,,
84773,.CALCIMA 30 PICS,,,,
oly,`OLYSRE 20 TAB,,,,
71475,+*** IMP BIOTIN 10000 MCG 100 TAB,,,,
ANAF,+***IMP ANAFRANIL 25MG 30 TAB,,,,
53804,+***IMP FEROGLOBIN B12 30 CAP,,,,
18646,+***imp NEO MERCAZOLE 5 MG 100 TAB,,,,
55748,+***IMP OSTEOCARE SYRUP 200ML,,,,
54473,+***IMP OSTEOCARE ORIGINAL 30 TAB,,,,
17155,+***imp PANADOL BLUE TAB,,,,
30547,+***imp PANADOL COLD AND FLU TAB,,,,
65174,+***imp PANADOL EXTRA 24 TAB IMP,PANADOL EXTRA 48 TAB,بانادول اكسترا 48 اقراص,2542339,95.0
59828,+***imp PANADOL JOINT 18 TAB,,,,
25723,+***imp PANADOL SINUS 24 TAB,,,,
29384,+***IMP PERFECTIL TRIPLE ACTIVE 30TAB IMP,,,,
27942,+***IMP PREGNACARE original folic acid 30 cap,,,,
56431,+***imp TRIPLE OMEGA 3-6-9 120 CAP(PURITANS,,,,
68671,+***imp VEGA HONEY 10 PATCH,,,,
68674,+***IMP VITAMIN D3 5000 IU 100 TAB,,,,
55765,+***IMPGlUCOSAMINE CHONDROTN MSM 120CAP,,,,
77608,+***spanish fly imp,,,,
73073,456+4456.4,,,,
26866,45645841635,,,,
28792,520414785,,,,
87805,535454,,,,
46352,54234553,,,,
81312,564356345254,,,,
81217,64564164,,,,
46285,65465163,,,,
35435435,7585485463546350,,,,
79111,876763,,,,
29189,ABILIFY 10 MG 10 TAB,ABILIFY 10 MG 10 TABS.,ابيليفاي 10 مجم 10 اقراص,2671797,97.6
29188,ABILIFY 15 MG 10 TAB,ABILIFY 15 MG 10 TABS.,ابيليفاي 15 مجم 10 اقراص,943058,97.6
74571,ABILIFY 5 MG 10 TAB,ABILIFY 5 MG 10 TABS,ابيليفاي 5 مجم 10 اقراص,2254422,97.4
21728,ABIMOL 500 MG 20 TAB,,,,
45413,ABIMOL EXTRA 20 TAB.,,,,
45178,ABIMOL SUPP,,,,
745822,acanthaprop eye 10ml,,,,
91689,ACDISTERON 25 MG 20 TAB,ACDISTERON 25 MG 20 TAB,اكديستيرون 25 مجم 20 اقراص,2317701,100.0
