code,drug_name,matched_product_name_en,matched_product_name_ar,matched_store_product_id,match_score,verified,match_method,ai_confidence,ai_review_confidence
90874,***GREEN TEA,,,,,,no_match,,
87648,**IMP panadol night 20 TAB,,,,,,no_match,,
84773,.CALCIMA 30 PICS,CALCIMA 30 SOFT CHEWS PIECES,كالسيما 30 اقراص (انفينتي),2476136.0,80.0,ai_confirmed_reviewed,ai_verified,0.0,0.0
oly,`OLYSRE 20 TAB,OLYSRE 20 TAB,اوليسري 20 اقراص,2140438.0,96.3,algo_match,token_set_ratio,,
71475,+*** IMP BIOTIN 10000 MCG 100 TAB,,,,,,no_match,,
53804,+***IMP FEROGLOBIN B12 30 CAP,,,,,ai_review_rejected,ai_reviewed,0.0,1.0
18646,+***imp NEO MERCAZOLE 5 MG 100 TAB,,,,,,no_match,,
55748,+***IMP OSTEOCARE SYRUP 200ML,,,,,,no_match,,
54473,+***IMP OSTEOCARE ORIGINAL 30 TAB,,,,,,no_match,,
17155,+***imp PANADOL BLUE TAB,,,,,,no_match,,
30547,+***imp PANADOL COLD AND FLU TAB,,,,,,no_match,,
65174,+***imp PANADOL EXTRA 24 TAB IMP,,,,,,no_match,,
59828,+***imp PANADOL JOINT 18 TAB,PANADOL JOINT 24 ER TABLETS,بانادول جوينت 24 اقراص,,90.0,algo_match,partial_token_sort_ratio,,
25723,+***imp PANADOL SINUS 24 TAB,,,,,,no_match,,
29384,+***IMP PERFECTIL TRIPLE ACTIVE 30TAB IMP,,,,,,no_match,,
27942,+***IMP PREGNACARE original folic acid 30 cap,,,,,,no_match,,
56431,+***imp TRIPLE OMEGA 3-6-9 120 CAP(PURITANS,,,,,,no_match,,
68671,+***imp VEGA HONEY 10 PATCH,,,,,,no_match,,
68674,+***IMP VITAMIN D3 5000 IU 100 TAB,,,,,,no_match,,
55765,+***IMPGlUCOSAMINE CHONDROTN MSM 120CAP,,,,,,no_match,,
77608,+***spanish fly imp,,,,,,no_match,,
73073,456+4456.4,,,,,,no_match,,
26866,45645841635,,,,,,no_match,,
