product_name_ar,product_name_en,store_product_id
1 2 3 وان تو ثري 20 اقراص,1 2 3 ONE TWO THREE 20 F.C. TAB,2437679
1 2 3 وان تو ثري اكسترا 20 اقراص,1 2 3 ONE TWO THREE EXTRA 20 F.C. TAB,2403271
1 2 3 وان تو ثري شراب 120 مل,1 2 3 ONE TWO THREE SYRUP 120 ML,2094308
555 كولونيا بخاخ 120 مل,555 COLOGNE SPRAY 120 ML,1844459
55555 بودره تلك 100 جرام بدون رائحه ازرق صغيره,FIVE FIVES BABY TALCUM POWDER 100 GM FRAGRANCE FREE,1430400
55555 بودره تلك 200 جرام بدون رائحه ازرق كبيره,FIVE FIVES BABY TALCUM POWDER 200 GM FRAGRANCE FREE,1430396
55555 بودره تلك سوبر برائحه الورد 100 جم روز صغيره,FIVE FIVES SUPER TALCUM POWDER WITH ROSE FRAG. 100 GM,1656583
55555 بودره تلك سوبر برائحه الورد 200 جم روز كبيره,FIVE FIVES SUPER TALCUM POWDER WITH ROSE FRAG. 200 GM,1430399
55555 حنه اسود 100 جم,FIVE FIVES HENNA 100 GM BLACK,1430397
55555 حنه اسود 200 جم,FIVE FIVES HENNA 200 GM BLACK,1430398
55555 كولونيا 200 مل,55555 COLONGE 200 ML,1400135
55555 كولونيا بخاخ 130 مل صغيره,55555 COLONGE SPRAY 130 ML,1400132
55555 كولونيا بخاخ 230 مل كبيره,55555 COLONGE SPRAY 230 ML,1400134
اباندروكير 150 مجم 2 اقراص,IBANDROCARE 150 MG 2 F.C.TAB,901629
ابتاميل بروسينيو لبن 400 جم,APTAMIL PROSYNEO MILK 400 GM,2445636
ابتوفول 10 / 25 مجم 20 اقراص,APTOFUL 10 / 25 MG 20 F.C.TAB,2509526
ابتوفول 5 / 12.5 مجم 20 اقراص,APTOFUL 5 / 12.5 MG 20 F.C. TAB,2634552
ابديت زيت 60 مل,UPDATE BODY OIL 60 ML,2146796
ابديت كريم تفتيح بشره 50 جم,UPDATE WHITENING CREAM 50 GM,2618707
ابراتروبيوم ميلان 0.5 مجم / 2 مل (للكبار) 10 جرعات امبول,IPRATROPIUM MYLAN 0.5 MG / 2 ML (ADULTS) 10 UNIT DOSE VIAL.,1736375
ابرافنت اس بخاخ 200 جرعه,IPRAVENT S AEROSOL FOR INHALATION 200 DOSES,2281828
ابروفال 300 مجم اقراص,APROVEL 300 MG 14 TAB.,2681570
ابروفيل 150 مجم 14 اقراص,APROVEL 150 MG 14 TAB.,2337832
ابروفيل 150 مجم 28 اقراص,APROVEL 150 MG 28 TAB,2638944
ابروفيل 150 مجم 28 اقراص 206,APROVEL 150 MG 28 TAB,2681060
ابروفيل 300 مجم 14 اقراص,APROVEL 300 MG 14 TAB.,1944092
ابروفيل 300 مجم 28 اقراص,APROVEL 300 MG 28 TAB,2668894
ابريكور كريم 30 جم,APRICOR CREAM 30 GM,2498753
ابريكور كريم 30 جم لحب الشباب,APRICOR CREAM 30 GM,2681484
ابسي دينت جل,EPSI DENT GEL,1545697
ابسي فلون كريم,EPSI FLONE CREAM,1652175
ابسي فليكس جل,EPSI FLEX GEL,1652176
ابل لايت 30 اقراص,APPLE LITE 30 TABS.,1652178
ابل لايت 30 اقراص س 45,APPLE LITE 30 TABS.,2683063
ابلونج نوفالجين 500 مجم 10 اقراص,NOVALGIN OBLONG 500 MG 10 F.C TAB.,2475624
ابي جرو 10 اكياس,API GROW POWDER 10 SACHETS,2191720
ابي دينيترا 10 مجم 20 اقراص,EPI DINITRA 10 MG 20 TABLETS,2127261
ابي دينيترا 5 مجم 30 اقراص,EPI DINITRA 5 MG 30 SUBLINGUAL TABLETS,2127262
ابي رايز شراب 120 مل,APPE RAISE SYRUP 120 ML,2468081
ابي رايز شراب جديد,APPE RAISE SYRUP 120 ML,2681980
ابياكتو 50 جم كريم,IBIACTO 50 GM CREAM,2498188
ابياموكس 400 مجم / 5 مل شراب 80 مل,IBIAMOX 400 MG / 5 ML SUSP. 80 ML,1883162
ابياموكس 500 مجم 12 كبسول,IBIAMOX 500 MG 12 CAPS.,1876695
ابيتومور 120 مل شراب,,2682769
ابيتومور شراب,,2672781
ابيتويد 20 مجم 30 اقراص,APETOID 20 MG 30 F.C.TAB.,901646
ابيجرييك شراب 100 مل,APPEGREEK SYRUP 100 ML,2499723
ابيجنت 20 مجم / 2 مل 3 امبول,EPIGENT 20 MG / 2 ML I.V. / I.M. 3 AMP.,2498042
ابيجنت 80 مجم / 2 مل 3 امبول,EPIGENT 80 MG / 2 ML I.M. / I.V. 3 AMPS.,2354931
ابيجونال 75 وحده 1 امبول,EPIGONAL 75 I.U. 1 AMP.,2553912
ابيدرا 100 وحده / مل 5 خرطوشات,APIDRA 100 I.U. / ML 5 CARTIRIDGES,2287864
ابيدرا سولوستار 100 وحده / مل 1 قلم,APIDRA SOLOSTAR 100 I.U. / ML 1 PREFILLED PEN,2225119
ابيدرا سولوستار 100 وحده / مل 5 قلم,APIDRA SOLOSTAR 100 I.U. / ML 5 PREFILLED PEN,2434921
ابيدكسون 0.05 % مرهم 5 جم,EPIDEXONE 0.05 % EYE OINT. 5 GM,2126668
ابيدكسون 1 مجم / مل قطره 5 مل,EPIDEXONE 1 MG / ML EYE / EAR DROPS 5 ML,1838274
ابيدكسون بلس 1 مجم / مل قطره 5 مل,EPIDEXONE PLUS 1 MG / ML EYE / EAR DROPS 5 ML,1671069
ابيدون شراب 125 مل,APIDONE SYRUP 125 ML,2369319
ابيدون شراب 35,APIDONE SYRUP 125 ML,2681182
ابيدون شراب س جديد,APIDONE SYRUP 125 ML,2681008
ابيديرم كريم 50 جم,EPIDERM SOOTHING CREAM 50 GM,2312240
ابيرازول 20 مجم 14 كبسول,EPIRAZOLE 20 MG 14 CAPS.,2452821
ابيرازول 40 مجم 10 كبسول,EPIRAZOLE 40 MG 10 CAPS,2638681
ابيرليفان 40 مجم / مل امبول,EPIRELEFAN 40 MG / ML I.M AMP.,2506936
ابيروفاستين 10 مجم 14 اقراص,EPIROVASTIN 10 MG 14 SCORED F.C. TAB,2434911
